Service Request,Repair
Need Repairing,Repair
No Hot Water,Repair
Heating Side Not Working Fine,Repair
Boiler STOPPED WORKING,Repair
endure the disturbing sounds,Repair
The Boiler Is Constantly Flashing Lf,Repair
"very disappointed with boiler, its noisey",Repair
broke down three times,Repair
boiler produce a abnormal noice,Repair
fixed repair,Repair
emergency plumber,Repair
problem was the heat exchanger,Repair
I have a bad gas leak,Repair
no hot water or heating,Repair
confirmed gas leak ,Repair
leak stopped when the boiler was isolated,Repair
It broke down 2 times,Repair
boiler has not been serviced,Repair
failed burner seal which is a non replaceable element,Repair
changed the filter,Repair
boiler onto heating and the kitchen filled with smoke,Repair
sending an engineer out next day,Repair
engineer to fix Boiler,Repair
heater exchange is leaking,Repair
our tenant as no heat and no hot water,Repair
Ideal boiler not working,Repair
heat exchanges leaking divertor valve leaks,Repair
the hot water has stopped working,Repair
the touch controller didn’t work and an engineer had to come out to replace it,Repair
we are still without heating and hot water.,Repair
can’t tolerate this Ideal Touch thermostat anymore,Repair
the Bluetooth thermostat replaced 3 times,Repair
They always loose connection and ultimately cut the heating off,Repair
thermostat with a non Bluetooth basic model,Repair
boiler then came up with a fault,Repair
It broke down in October due to a faulty pump,Repair
making a loud thumping noise when ignited,Repair
Possible Heat Exchanger Failure  ,Repair
I Require a Copy Invoice,Invoice
Need Invoice,Invoice
I Require a Copy bill,Invoice
Need bill,Invoice
requested therefore to issue the stated Invoices,Invoice
request that you send me the invoices of the supplies,Invoice
Requesting Invoice,Invoice
request for the issuing of the original invoice,Invoice
issue the invoice letter for payment,Invoice
request a digital invoice,Invoice
request for the tax invoice,Invoice
Please send your invoice,Invoice
request the proof of invoices,Invoice
copy of your invoice,Invoice
unable to collect all the invoices,Invoice
need last order invoice,Invoice
requested for dublicate invoice,Invoice
requesting invoice for successful payment,Invoice
need bill of service,Invoice
Could You Please Send Us The Invoice,Invoice
Can you please send us the invoice,Invoice
Please Kindly Provide us an invoice,Invoice
"I didn't receive my invoice, view it",Invoice
"i wanna check my invoices, could u help me?",Invoice
can you provide information about my bill?,Invoice
I didn't receive my bills and I want to see them,Invoice
information about my invoice,Invoice
"I can't find my invoice, help me see it",Invoice
send the invoice,Invoice
"I want to download a bill, tell me how I can do it",Invoice
"i want to obtain a bill, can you show me some information?",Invoice
Unsuccessfully To Obtain Help,Escalation
Make A Complaint Regarding The Response,Escalation
Failed To Keep Your Appointment,Escalation
Engineer Not Trained On Keston Boilers,Escalation
Misinformed By Your Service Engineers,Escalation
They Are Very Unprofessional,Escalation
Ridiculously Rude,Escalation
Defective Boiler Installed,Escalation
Customer Service Not Up To Scratch,Escalation
Miraculously Disappeared,Escalation
Incredibly Frustrating,Escalation
I'm not happy with the service,Escalation
I am discontent with the service,Escalation
I want to submit a complaint,Escalation
how can I lodge a complaint?,Escalation
I don't like the service,Escalation
filing a complaint,Escalation
boiler consumer complaint,Escalation
Absolutely rubbish boilers,Escalation
IDEAL LOGIC BOILERS ARE TERRIBLE,Escalation
fitted 2months ago very disappointed,Escalation
Absolutely useless,Escalation
SHOCKING CUSTOMER EXPERIENCE,Escalation
level of service is easily the worst,Escalation
really does not care about anyone but themselves,Escalation
They dont call back,Escalation
Awful customer backup service,Escalation
Customer support cannot count on,Escalation
A very poor product,Escalation
service is terrible not worth paper,Escalation
Please Send Any Information Relating To Work/Services,Inquiry
Please Let Me Know If This Is Ok?,Inquiry
