fuckin'm transtelecom,Negative 
Working   But it's Fridaaaayyyyy,Negative 
Packing  I don't like it..,Negative 
I tried to dye my hair and all i got was a blond chunk in the front middle part of my hair. Dang.,Negative 
&quot;locked up abroad&quot; makes bein half brown good risk mgmt when travelin 3rd world. i blend. i feel sorry for my hostage magnet white pepo,Negative 
@LouGagliardi  damned hordies,Negative 
"@bcollinstattoo yes, boo for soar throats and earaches!",Negative 
My stomach is all EXPLODE from the wendys  why is everything that tastes good bad for you?,Negative 
"@rmilana Hey, Wahts happening in #coffeclub..? I didnt have coffee for two days now  @dharshana",Negative 
"Did a historical Jesus ever exist? Im finding it hard to prove, its all hearsay accounts ... it bugs me ...",Negative 
lost all my files since high school.,Negative 
"i hav a chance to win $10, $100, $1000.  i was given a free can of $ plant..have to wait till the plant grow to know if i won anythin!!?!",Negative 
i never knew a dentention was so hard 2 get,Negative 
@drakesizzle  If you don't want to come then don't come. JEEEEEZ.,Negative 
@_supernatural_ more Demon Sam!! I need it to numb the pain  xXx,Negative 
"@LeahMul awh, thats not good,   get better soon!",Negative 
stuck in stupid Jeuno with flag up.  Wish I was in Windy fishing,Negative 
@mikeavila ack! I just read about your show  that's horrible!!! No accounting for taste.,Negative 
"@Greenwichlad Oh let me clarify,know lots of nice people who live there, but thought it always was a breeding ground 4 BNP",Negative 
Confuzzled,Negative 
The toaster oven was my fault. Now I'm going to look like an idiot in front of my father.,Negative 
@eboogiee smh Your whin with that comment,Negative 
@_hayles are u serious???? you touched his arse? ohmygod u bitch!!! lol aaaaawwwwwww y did u tell me that!!!,Negative 
@mashable Link to ff &quot;how it works&quot; is broke!,Negative 
aaaaaaaaaaa McFly,Negative 
Shout out to my moms for wakin me up so prematurely! Preciate it,Negative 
Stupid red hair is too difficult on the upkeep. Re-dyed it a more manageable brown-red. Boo,Negative 
has a VERY arduous task to accomplish at work...stuff that should have already been done &amp; as usual it hasn't. Not because of me either.,Negative 
"@wmdev Every time I succeed with a code, I get &quot;We're Sorry. Your Credit Card Has Been Declined at this time.&quot;",Negative 
@jamie_oliver  I was off by one year. I really wanted some of Jamies cooking books in ENGLISH!!!! not German.,Negative 
@aranarose Murphy's Law?  Sorry that your computer is not cooperating when you have lots of work. My kids are .. http://tinyurl.com/km235x,Negative 
@BigCatJared   What did I do to you!  sheesh,Negative 
studying for this bullshit econ test,Negative 
Internet is painfully slow today,Negative 
@cindaxo the straightener's another 110 pounds though. Seems pricey,Negative 
MOtherfuck QW,Negative 
No gas PLUS no money = Desperation!!!   and that's the word of the day!  http://twitpic.com/66zls,Negative 
Very bad things.......I need to stop thinking!,Negative 
@anz_rocks19  i have to break the twitterparty... im off home soon,Negative 
@msaysrawr *points at the gear question I just posted* I cant get the rest of my Dreadweave set,Negative 
The &quot;Catch Me If You Can&quot; DVD that I rented from Blockbuster.com yesterday was cracked. Figured it out about 35 minutes into the movie.,Negative 
"It's so annoying when I want to go see The Sats, @OfficialJoBros and @ddlovato in concert..but I know I'LL Have to pay",Negative 
i hella wanted a sausage mcmuffin but when i gt there breakfast was over,Negative 
#twitterfails fucking hard right now...this is annoying,Negative 
im writing an exam on a SATURDAY  that should be illegal  where's my weekend?,Negative 
@egheitasean Which denomination? I'm at the library and everything's blocked.,Negative 
bout to go to work with a wicked sunburn on the chest.,Negative 
"Wow, I'm really bored... and pissed I left my library card when I had to take the Booky Wook back...",Negative 
@kristanmarie at least you dont have quad parking haha two cars drove by real fast and spashed mud all over me,Negative 
"Grabbing a snack and a drink at chili's, but the power just went out. Before I got my food!",Negative 
@playspymaster I want an invite - sick of seeing all these links for people playing and being left out,Negative 
#thingsmummysaid my mummy told me she never wnted to be my mummy ever again  so i live wid my dad i think ?? it all confusing,Negative 
@tommcfly Why do you not respond me?,Negative 
"Big Laptop is too big, so it's time to switch to the Eee.  Bye big guy",Negative 
People at work are stressing me out.,Negative 
@FafsaHelp i don't know what lender it was? yea these people definitely sucked butt toes. NOT friendly or helpful.,Negative 
Wish my headache/almost migraine would go away!,Negative 
"Gah, I sprained my LEFT ankle... Just after I got over the torn ligament for my right foot. Looks like it's back to walking with a cane",Negative 
My throat is on fire,Negative 
sam and sean are teasing me saying they are gonna get wings without me,Negative 
never does  anything good school and rabbit it my life cycle dunno how to tune a giutar so i am stuffed,Negative 
@janae24 lol! y does ur tweet sound like ur voice yelling at me  lol!,Negative 
Gah! I left my glasses at work and reading is giving me a headache.  I can't believe how much I need them these days.  Old age.,Negative 
"And you could have it all, my empire of dirt! I'm in a&amp;e with dad I'm freezing fully shivering Every1 else is warm  no fones allowed ffs!",Negative 
@porcelain_baby @Christomopher your not talking about your obsession with me right???,Negative 
@JennyTaylor94  yer it is...poor little cock  but she well doesnt deserve the stick off everyone! cowell once again going against producer,Negative 
"Had a shower. it's 5:55 PM. Triple 5's! Crap, it just turned 5:56",Negative 
@ACMcWhale I always feel guilty about it,Negative 
seriously why did mum make me eat yeah i have a weird eating habit of not eating all day but really,Negative 
"@natss91 kill me as soon as you get here ,ok? my sister is having a sleepover tonight  and her obnoxious friends are driving me insane",Negative 
